Percentile of Vss of Raltegravir.;;;;;;;;;
;;;;;;;;;
Vss [ml/kg];;;;;;;;;
;5^{th} prctl.;25^{th} prctl.;50^{th} prctl.;75^{th} prctl.;95^{th} prctl.;arith. mean;std;geo. mean;geo. CV
Sick adults 400mg sd;1943.84707407135;2535.84802516661;3238.75409989557;3858.08942431916;6701.23092632854;3592.19295959141;2126.190052326;3278.98135979959;0.400209984780162
Healthy adults 400mg sd;2041.94641040267;2565.37675877403;3040.82173642246;3595.30166478158;8114.22125979597;3539.45325511308;1827.92776439653;3248.11544317747;0.394208705012329
