Percentile of Thalf of Raltegravir.;;;;;;;;;
;;;;;;;;;
Thalf [h];;;;;;;;;
;5^{th} prctl.;25^{th} prctl.;50^{th} prctl.;75^{th} prctl.;95^{th} prctl.;arith. mean;std;geo. mean;geo. CV
Sick adults 400mg sd;5.22898027556618;7.72411622896523;8.95961724603483;10.9947556748047;16.4630555445312;9.62289054797254;3.18961030098622;9.17628364968703;0.311466310516716
Healthy adults 400mg sd;6.33941648792927;8.06063187409887;9.51460814758054;11.3398539477853;16.380937015696;10.050007129668;3.09647845428988;9.65429969145945;0.282896761599503
