Percentile of MRT of Raltegravir.;;;;;;;;;
;;;;;;;;;
MRT [h];;;;;;;;;
;5^{th} prctl.;25^{th} prctl.;50^{th} prctl.;75^{th} prctl.;95^{th} prctl.;arith. mean;std;geo. mean;geo. CV
Sick adults 400mg sd;4.38220809163969;4.80808591525316;5.28122734125666;5.98685728529144;10.4233253128974;6.07077390269452;2.77950631629454;5.73595320274796;0.30245216184312
Healthy adults 400mg sd;4.25345011706019;4.77308248041966;5.12666193828284;5.65421986464679;12.8222420843763;5.98168845340002;3.11714459642363;5.58167421616667;0.327817289635801
