Percentile of Vd of Raltegravir.;;;;;;;;;
;;;;;;;;;
Vd [ml/kg];;;;;;;;;
;5^{th} prctl.;25^{th} prctl.;50^{th} prctl.;75^{th} prctl.;95^{th} prctl.;arith. mean;std;geo. mean;geo. CV
Sick adults 400mg sd;3612.27527423388;5910.8262147471;7500.63381190027;10552.3472245831;16212.2328463781;8465.12883383326;4277.77176108622;7567.88836288979;0.501903825056894
Healthy adults 400mg sd;4115.49630566854;5974.29395250782;8186.87205693604;10743.8798445761;15233.4699393897;8799.38334105374;3606.14129974412;8105.17296076625;0.430008040356187
