Percentile of Thalf of Raltegravir.;;;;;;;;;
;;;;;;;;;
Thalf [h];;;;;;;;;
;5^{th} prctl.;25^{th} prctl.;50^{th} prctl.;75^{th} prctl.;95^{th} prctl.;arith. mean;std;geo. mean;geo. CV
Larson 2013 8y-18y 400mg FCT meal;2.19265589610515;2.58168302604432;2.90353570365899;3.40882432257257;6.05830382731775;4.4244662977132;17.0364189278434;3.17272598291381;0.447630841422669
Filmcoated_tablet_400mg_sd;6.22529309289754;7.89827612811796;8.97541447461447;11.2987844028227;15.742763966688;9.79214515868598;3.11543987579609;9.37133253892849;0.298712515027835
