Time profiles of Raltegravir for Raltegravir 400mg (lactose formulation).;;;
;;;
Raltegravir [µg/l];;;
Time [h];5^{th} percentile;median;95^{th} percentile
40.8;4.69;7.36;12.8
41;4.61;7.22;12.6
41.3;4.53;7.09;12.4
41.5;4.45;6.96;12.2
41.8;4.37;6.83;12
42;4.29;6.71;11.8
42.3;4.21;6.59;11.6
42.5;4.14;6.47;11.4
42.8;4.07;6.36;11.2
43;3.99;6.25;11
43.3;3.92;6.13;10.8
43.5;3.85;6.03;10.6
43.8;3.78;5.92;10.5
44;3.72;5.82;10.3
44.3;3.65;5.72;10.1
44.5;3.58;5.62;9.91
44.8;3.52;5.52;9.74
45;3.46;5.43;9.57
45.3;3.4;5.33;9.4
45.5;3.33;5.25;9.24
45.8;3.28;5.17;9.08
46;3.22;5.09;8.92
46.3;3.16;5.01;8.76
46.5;3.1;4.93;8.61
46.8;3.05;4.85;8.46
47;2.99;4.77;8.31
47.3;2.94;4.69;8.18
47.5;2.89;4.6;8.06
47.8;2.83;4.52;7.94
48;2.78;4.44;7.82
