Time profiles of Raltegravir for Raltegravir 200 mg   (lactose formulation).;;;
;;;
Raltegravir [µg/l];;;
Time [h];5^{th} percentile;median;95^{th} percentile
0;0;0;0
0.05;1.93;8.83;33.1
0.1;28.5;90;307
0.15;95.1;265;793
0.2;203;521;1.41e+03
0.25;345;806;2.04e+03
0.3;514;1.1e+03;2.55e+03
0.35;681;1.42e+03;2.98e+03
0.4;839;1.72e+03;3.26e+03
0.45;982;1.98e+03;3.4e+03
0.5;1.11e+03;2.1e+03;3.45e+03
0.55;1.23e+03;2.24e+03;3.41e+03
0.6;1.32e+03;2.35e+03;3.34e+03
0.65;1.41e+03;2.43e+03;3.34e+03
0.7;1.48e+03;2.43e+03;3.33e+03
0.75;1.51e+03;2.44e+03;3.27e+03
0.8;1.53e+03;2.42e+03;3.13e+03
0.85;1.54e+03;2.35e+03;3.06e+03
0.9;1.52e+03;2.27e+03;3.03e+03
0.95;1.51e+03;2.22e+03;2.94e+03
1;1.46e+03;2.17e+03;2.85e+03
1.05;1.42e+03;2.07e+03;2.75e+03
1.1;1.37e+03;2e+03;2.67e+03
1.15;1.32e+03;1.93e+03;2.61e+03
1.2;1.27e+03;1.86e+03;2.56e+03
1.25;1.22e+03;1.79e+03;2.5e+03
1.3;1.18e+03;1.73e+03;2.46e+03
1.35;1.13e+03;1.68e+03;2.41e+03
1.4;1.09e+03;1.62e+03;2.36e+03
1.45;1.05e+03;1.55e+03;2.3e+03
1.5;1.01e+03;1.49e+03;2.24e+03
1.55;969;1.44e+03;2.17e+03
1.6;933;1.39e+03;2.11e+03
1.65;898;1.35e+03;2.06e+03
1.7;860;1.3e+03;2e+03
1.75;825;1.25e+03;1.94e+03
1.8;791;1.21e+03;1.89e+03
1.85;760;1.17e+03;1.84e+03
1.9;733;1.13e+03;1.78e+03
1.95;709;1.09e+03;1.74e+03
2;687;1.06e+03;1.69e+03
2.25;573;906;1.49e+03
2.5;484;778;1.32e+03
2.75;414;674;1.17e+03
3;351;591;1.04e+03
3.25;301;515;933
3.5;260;458;854
3.75;226;409;775
4;198;367;698
4.25;175;327;632
4.5;156;293;581
4.75;139;265;540
5;125;241;503
5.25;113;221;471
5.5;103;204;436
5.75;94.7;190;404
6;87.8;175;375
6.25;81.6;163;349
6.5;76.2;151;325
6.75;71.3;142;304
7;66.9;133;284
7.25;62.9;125;266
7.5;58.9;117;250
7.75;55;110;235
8;51.5;104;221
8.25;48.3;97.9;208
8.5;45.4;92.5;196
8.75;42.8;87.6;186
9;40.3;83.3;176
9.25;38.1;79.3;167
9.5;36.1;75.8;158
9.75;34.2;72.5;150
10;32.5;69.4;143
10.3;30.9;66.4;136
10.5;29.4;63.8;131
10.8;28;60.9;127
11;26.7;58.2;124
11.3;25.5;55.7;120
11.5;24.4;53.4;118
11.8;23.4;51.3;116
12;22.4;49.3;113
12.3;21.5;47.4;110
12.5;20.7;45.6;106
12.8;19.9;43.8;102
13;19.2;42.2;98.6
13.3;18.5;40.6;95.2
13.5;17.9;39.2;91.9
13.8;17.3;37.8;88.7
14;16.8;36.5;85.6
14.3;16.2;35.4;82.7
14.5;15.7;34.4;80.1
14.8;15.3;33.4;78
15;14.9;32.4;75.9
15.3;14.5;31.4;73.9
15.5;14.1;30.4;71.4
15.8;13.7;29.4;68.8
16;13.4;28.5;66.2
16.3;13.1;27.6;63.7
16.5;12.8;26.8;61.1
16.8;12.5;26.1;58.9
17;12.2;25.4;57.5
17.3;12;24.7;55.4
17.5;11.7;24;53.5
17.8;11.5;23.3;51.6
18;11.3;22.8;49.6
18.3;11.1;22.2;47.7
18.5;10.9;21.6;45.9
18.8;10.7;21;44.2
19;10.5;20.5;42.7
19.3;10.3;19.9;41.3
19.5;10.1;19.4;40
19.8;9.92;19;38.9
20;9.74;18.6;37.8
20.3;9.58;18.1;36.7
20.5;9.42;17.6;35.7
20.8;9.26;17.2;34.6
21;9.1;16.9;33.5
21.3;8.96;16.5;32.5
21.5;8.82;16.2;31.5
21.8;8.68;15.8;30.6
22;8.54;15.4;29.8
22.3;8.38;15.1;29
22.5;8.23;14.8;28.2
22.8;8.08;14.4;27.4
23;7.94;14.1;26.7
23.3;7.79;13.9;26
23.5;7.65;13.6;25.4
23.8;7.51;13.3;24.7
24;7.37;13;24.1
24.3;7.24;12.8;23.5
24.5;7.11;12.5;23
24.8;6.99;12.3;22.4
25;6.87;12.1;21.9
25.3;6.75;11.8;21.4
25.5;6.63;11.5;20.9
25.8;6.52;11.2;20.4
26;6.42;11;19.8
26.3;6.31;10.7;19.4
26.5;6.21;10.5;18.9
26.8;6.11;10.3;18.4
27;6.01;10.1;18
27.3;5.9;9.97;17.6
27.5;5.78;9.81;17.2
27.8;5.66;9.63;16.9
28;5.55;9.44;16.5
28.3;5.45;9.21;16.2
