Time profiles of Raltegravir for Raltegravir 100 mg  (lactose formulation).;;;
;;;
Raltegravir [µg/l];;;
Time [h];5^{th} percentile;median;95^{th} percentile
0;0;0;0
0.05;0.966;4.41;16.5
0.1;14.2;44.7;152
0.15;47.1;131;394
0.2;99.2;257;696
0.25;168;398;1e+03
0.3;249;538;1.25e+03
0.35;331;696;1.45e+03
0.4;411;841;1.58e+03
0.45;482;967;1.66e+03
0.5;545;1.03e+03;1.7e+03
0.55;601;1.09e+03;1.69e+03
0.6;649;1.14e+03;1.66e+03
0.65;692;1.18e+03;1.65e+03
0.7;724;1.19e+03;1.64e+03
0.75;743;1.2e+03;1.6e+03
0.8;754;1.18e+03;1.53e+03
0.85;756;1.16e+03;1.51e+03
0.9;746;1.12e+03;1.49e+03
0.95;726;1.1e+03;1.45e+03
1;715;1.06e+03;1.4e+03
1.05;697;1.02e+03;1.36e+03
1.1;674;984;1.32e+03
1.15;650;951;1.29e+03
1.2;623;916;1.26e+03
1.25;603;885;1.24e+03
1.3;581;854;1.21e+03
1.35;559;827;1.19e+03
1.4;538;798;1.16e+03
1.45;518;768;1.13e+03
1.5;499;741;1.1e+03
1.55;481;714;1.07e+03
1.6;463;689;1.04e+03
1.65;447;664;1.01e+03
1.7;429;642;987
1.75;412;620;959
1.8;395;600;932
1.85;379;580;906
1.9;365;561;881
1.95;352;543;857
2;339;526;834
2.25;285;452;738
2.5;240;388;653
2.75;202;335;578
3;171;291;513
3.25;147;255;461
3.5;127;227;421
3.75;110;204;388
4;96.9;183;358
4.25;85.6;163;331
4.5;76.1;146;302
4.75;68;134;276
5;61.1;123;253
5.25;55.2;113;233
5.5;50.5;103;216
5.75;46.5;94.7;200
6;42.9;87.2;186
6.25;39.8;80.6;173
6.5;37;74.4;161
6.75;34.6;69.6;150
7;32.4;65.6;141
7.25;30.4;62.1;132
7.5;28.6;58.1;124
7.75;27;54.4;116
8;25.5;51.3;109
8.25;23.9;48.4;103
8.5;22.5;45.9;97.3
8.75;21.2;43.5;92
9;20;41.4;87.1
9.25;18.9;39.5;82.6
9.5;17.9;37.7;78.4
9.75;16.9;36.1;74.5
10;16.1;34.4;70.9
10.3;15.3;32.9;67.6
10.5;14.6;31.5;64.5
10.8;13.9;30.1;61.6
11;13.2;28.8;58.9
11.3;12.7;27.6;56.4
11.5;12.1;26.5;54
11.8;11.6;25.4;51.8
12;11.1;24.5;49.7
12.3;10.7;23.5;47.8
12.5;10.3;22.6;45.9
12.8;9.91;21.7;44.2
13;9.55;20.9;42.5
13.3;9.21;20.1;41
13.5;8.9;19.4;39.5
13.8;8.61;18.7;38.1
14;8.33;18.1;37.2
14.3;8.08;17.5;36.4
14.5;7.83;16.9;35.6
14.8;7.61;16.4;34.8
15;7.39;15.9;34
15.3;7.2;15.4;33.2
15.5;7.01;15;32.2
15.8;6.83;14.5;31
16;6.66;14.1;29.9
16.3;6.51;13.7;28.8
16.5;6.36;13.3;27.8
16.8;6.22;13;26.8
17;6.09;12.6;25.9
17.3;5.96;12.3;25
17.5;5.84;11.9;24.2
17.8;5.73;11.6;23.4
18;5.62;11.3;22.6
18.3;5.52;11;21.9
18.5;5.42;10.7;21.2
18.8;5.33;10.4;20.6
19;5.22;10.1;20
19.3;5.13;9.89;19.5
19.5;5.03;9.66;18.9
19.8;4.94;9.43;18.3
20;4.86;9.21;17.8
20.3;4.78;9;17.2
20.5;4.7;8.79;16.7
20.8;4.62;8.59;16.2
21;4.54;8.41;15.8
21.3;4.47;8.25;15.3
21.5;4.4;8.08;14.9
21.8;4.33;7.9;14.5
22;4.26;7.72;14.1
22.3;4.17;7.54;13.7
22.5;4.09;7.38;13.3
22.8;4.02;7.22;13
23;3.94;7.03;12.7
23.3;3.87;6.88;12.4
23.5;3.8;6.76;12.1
23.8;3.73;6.63;11.9
24;3.66;6.51;11.6
24.3;3.6;6.37;11.3
24.5;3.53;6.22;11.1
24.8;3.47;6.08;10.8
25;3.41;5.95;10.6
25.3;3.36;5.8;10.4
25.5;3.3;5.65;10.1
25.8;3.25;5.51;9.93
26;3.19;5.39;9.72
26.3;3.14;5.29;9.51
26.5;3.09;5.2;9.31
26.8;3.04;5.12;9.12
27;3;5.01;8.93
27.3;2.94;4.92;8.75
27.5;2.88;4.83;8.57
27.8;2.82;4.74;8.4
28;2.77;4.64;8.23
28.3;2.72;4.53;8.07
28.5;2.68;4.42;7.91
28.8;2.64;4.31;7.75
29;2.6;4.23;7.6
29.3;2.57;4.15;7.46
29.5;2.53;4.08;7.31
29.8;2.49;4.01;7.17
30;2.44;3.94;7.03
30.3;2.4;3.86;6.9
30.5;2.36;3.78;6.77
30.8;2.32;3.72;6.63
31;2.28;3.66;6.49
31.3;2.25;3.59;6.36
31.5;2.21;3.53;6.25
31.8;2.17;3.46;6.13
32;2.14;3.41;6.02
32.3;2.11;3.35;5.91
32.5;2.07;3.29;5.81
32.8;2.04;3.23;5.7
33;2.01;3.18;5.6
