Time profiles of Raltegravir for Raltegravir 100 mg filmcoated tablet md for last application range.;;;
;;;
Raltegravir [µg/l];;;
Time after dose [h];5^{th} percentile;median;95^{th} percentile
6;52.7;97;195
6.05;52.1;95.6;193
6.1;51.6;94.4;191
6.15;51;93.1;188
6.2;50.4;91.9;186
6.25;49.9;90.9;184
6.3;49.3;90;182
6.35;48.8;89.1;180
6.4;48.3;88.2;178
6.45;47.8;87.4;176
6.5;47.3;86.4;174
6.55;46.8;85.4;172
6.6;46.4;84.5;170
6.65;45.9;83.6;168
6.7;45.4;82.7;166
6.75;45;81.9;164
6.8;44.6;81.2;163
6.85;44.1;80.5;161
6.9;43.7;79.8;159
6.95;43.3;79;157
7;42.9;78.3;156
7.05;42.5;77.5;154
7.1;42.2;76.8;152
7.15;41.8;76.1;151
7.2;41.4;75.4;149
7.25;41;74.7;148
7.3;40.7;74.1;146
7.35;40.3;73.4;145
7.4;40;72.7;143
7.45;39.7;72.1;142
7.5;39.3;71.4;140
7.55;39;70.7;139
7.6;38.7;70.1;138
7.65;38.3;69.4;136
7.7;38;68.7;135
7.75;37.7;68.1;134
7.8;37.4;67.4;132
7.85;37.1;66.8;131
7.9;36.8;66.3;130
7.95;36.5;65.7;129
8;36.2;65.2;127
8.05;35.9;64.7;126
8.1;35.7;64.2;125
8.15;35.4;63.7;124
8.2;35.1;63.2;123
8.25;34.9;62.7;122
8.3;34.6;62.3;121
8.35;34.4;61.8;119
8.4;34.1;61.4;118
8.45;33.9;61;117
8.5;33.6;60.5;116
8.55;33.4;60.1;115
8.6;33.1;59.7;114
8.65;32.9;59.2;113
8.7;32.7;58.8;112
8.75;32.4;58.4;111
8.8;32.2;58.1;110
8.85;32;57.7;110
8.9;31.8;57.3;109
8.95;31.6;57;108
9;31.4;56.6;107
9.05;31.1;56.2;106
9.1;30.9;55.8;105
9.15;30.7;55.4;104
9.2;30.5;55;103
9.25;30.3;54.6;103
9.3;30.1;54.2;102
9.35;30;53.8;101
9.4;29.8;53.4;100
9.45;29.6;53;99.4
9.5;29.4;52.6;98.6
9.55;29.2;52.2;97.8
9.6;29;51.8;97.1
9.65;28.8;51.4;96.3
9.7;28.7;51;95.6
9.75;28.5;50.6;94.9
9.8;28.3;50.3;94.2
9.85;28.1;49.9;93.5
9.9;28;49.6;92.8
9.95;27.8;49.2;92.1
10;27.6;48.9;91.4
10.1;27.5;48.5;90.8
10.1;27.3;48.2;90.1
10.2;27.2;47.8;89.5
10.2;27;47.5;88.8
10.3;26.8;47.2;88.2
10.3;26.7;46.9;87.6
10.3;26.5;46.6;86.9
10.4;26.4;46.3;86.3
10.4;26.2;46;85.7
10.5;26.1;45.7;85.1
10.6;25.9;45.4;84.6
10.6;25.8;45.1;84
10.7;25.7;44.9;83.4
10.7;25.5;44.6;82.8
10.8;25.4;44.3;82.3
10.8;25.2;44.1;81.7
10.8;25.1;43.8;81.2
10.9;25;43.6;80.6
10.9;24.8;43.3;80.1
11;24.7;43.1;79.6
11.1;24.6;42.8;79.1
11.1;24.4;42.6;78.5
11.2;24.3;42.3;78
11.2;24.2;42.1;77.5
11.3;24;41.8;77
11.3;23.9;41.6;76.5
11.3;23.8;41.3;76.1
11.4;23.7;41.1;75.6
11.4;23.5;40.8;75.1
11.5;23.4;40.6;74.6
11.6;23.3;40.4;74.2
11.6;23.2;40.1;73.7
11.7;23;39.9;73.2
11.7;22.9;39.7;72.8
11.8;22.8;39.5;72.4
11.8;22.7;39.2;71.9
11.8;22.6;39;71.5
11.9;22.5;38.8;71
11.9;22.4;38.6;70.6
12;22.2;38.4;70.2
