Time profiles of Raltegravir for Raltegravir 100 mg filmcoated tablet md for last application range.;;;
;;;
Raltegravir [µg/l];;;
Time after dose [h];5^{th} percentile;median;95^{th} percentile
0;22.2;38.4;70.2
0.05;24.2;42.5;75.8
0.1;34.4;75.5;152
0.15;60.2;136;345
0.2;96.9;225;583
0.25;144;331;812
0.3;199;446;993
0.35;258;556;1.15e+03
0.4;318;669;1.25e+03
0.45;376;760;1.31e+03
0.5;432;827;1.34e+03
0.55;476;864;1.33e+03
0.6;515;914;1.31e+03
0.65;549;944;1.31e+03
0.7;572;951;1.3e+03
0.75;590;959;1.27e+03
0.8;603;944;1.24e+03
0.85;605;924;1.22e+03
0.9;596;905;1.21e+03
0.95;593;884;1.18e+03
1;589;857;1.15e+03
1.05;571;836;1.12e+03
1.1;562;808;1.09e+03
1.15;537;783;1.06e+03
1.2;515;763;1.04e+03
1.25;499;739;1.02e+03
1.3;487;717;1e+03
1.35;475;692;983
1.4;459;668;965
1.45;443;647;947
1.5;426;622;925
1.55;410;600;902
1.6;395;580;879
1.65;380;563;857
1.7;367;547;836
1.75;354;531;815
1.8;341;515;794
1.85;329;501;775
1.9;318;487;758
1.95;307;473;742
2;296;461;727
2.05;286;448;711
2.1;277;435;693
2.15;268;423;676
2.2;260;411;659
2.25;252;399;644
2.3;244;387;630
2.35;237;376;617
2.4;230;366;604
2.45;222;355;591
2.5;215;346;578
2.55;208;337;565
2.6;202;328;552
2.65;196;319;539
2.7;190;311;527
2.75;184;304;515
2.8;179;297;504
2.85;174;290;494
2.9;169;282;485
2.95;164;275;477
3;160;269;468
3.05;155;263;460
3.1;151;257;452
3.15;147;251;444
3.2;144;246;435
3.25;140;241;427
3.3;137;235;420
3.35;133;230;413
3.4;130;226;407
3.45;127;221;401
3.5;124;217;395
3.55;121;213;389
3.6;118;209;382
3.65;116;205;375
3.7;113;201;369
3.75;110;197;364
3.8;108;193;358
3.85;106;190;353
3.9;103;186;348
3.95;101;182;343
4;99.2;179;338
4.05;97.2;176;334
4.1;95.3;173;329
4.15;93.4;170;325
4.2;91.6;167;320
4.25;89.8;164;316
4.3;88.1;161;311
4.35;86.4;158;306
4.4;84.8;155;301
4.45;83.3;152;296
4.5;81.8;150;292
4.55;80.3;148;287
4.6;78.9;145;283
4.65;77.5;143;279
4.7;76.2;141;275
4.75;74.9;138;271
4.8;73.7;136;267
4.85;72.4;134;263
4.9;71.3;132;259
4.95;70.1;130;256
5;69;128;252
5.05;67.9;126;249
5.1;66.9;125;246
5.15;65.9;123;242
5.2;64.9;121;239
5.25;63.9;120;236
5.3;63;118;233
5.35;62.1;116;230
5.4;61.3;115;227
5.45;60.5;113;224
5.5;59.7;111;221
5.55;58.9;110;218
5.6;58.1;108;216
5.65;57.4;107;213
5.7;56.7;105;210
5.75;56;104;208
5.8;55.3;102;205
5.85;54.7;101;203
5.9;54;99.7;200
5.95;53.4;98.3;198
