Time profiles of Raltegravir for Raltegravir 100 mg filmcoated tablet md for total simulation time range.;;;
;;;
Raltegravir [µg/l];;;
Time [h];5^{th} percentile;median;95^{th} percentile
0;0;0;0
0.05;0.69;3.15;11.8
0.1;10.3;32.5;110
0.15;34.4;96.2;290
0.2;72.8;190;516
0.25;123;295;749
0.3;184;400;940
0.35;246;520;1.09e+03
0.4;307;630;1.19e+03
0.45;362;728;1.26e+03
0.5;411;780;1.29e+03
0.55;455;828;1.3e+03
0.6;492;863;1.27e+03
0.65;525;902;1.27e+03
0.7;551;910;1.26e+03
0.75;569;921;1.23e+03
0.8;579;910;1.19e+03
0.85;582;895;1.16e+03
0.9;578;869;1.16e+03
0.95;559;850;1.13e+03
1;555;822;1.1e+03
1.05;542;800;1.06e+03
1.1;527;770;1.03e+03
1.15;510;744;1.01e+03
1.2;493;721;988
1.25;474;697;969
1.3;459;675;949
1.35;442;653;929
1.4;426;635;911
1.45;411;612;893
1.5;397;589;872
1.55;383;567;849
1.6;370;548;827
1.65;357;529;805
1.7;345;512;784
1.75;332;496;763
1.8;319;480;743
1.85;305;465;723
1.9;294;451;704
1.95;284;438;686
2;274;426;668
2.25;232;369;594
2.5;198;318;528
2.75;168;274;470
3;144;240;417
3.25;124;212;380
3.5;108;190;346
3.75;95.1;172;320
4;84.1;155;297
4.25;74.9;140;275
4.5;67.1;126;252
4.75;60.4;114;232
5;54.7;106;213
5.25;49.8;97.7;197
5.5;45.5;89.9;182
5.75;41.8;83;169
6;38.7;76.8;157
6.25;36;71;147
6.5;33.7;66.4;137
6.75;31.6;62;129
7;29.8;58;121
7.25;28.1;54.7;114
7.5;26.6;51.2;107
7.75;25.3;48.9;101
8;24;46.9;95.4
8.25;22.9;44.9;90.3
8.5;21.9;42.7;85.6
8.75;20.9;40.6;81.3
9;19.8;38.6;77.4
9.25;18.9;36.7;73.7
9.5;18;35;70.4
9.75;17.1;33.6;67.2
10;16.3;32.3;64.3
10.3;15.6;31.1;61.6
10.5;15;29.8;59.1
10.8;14.3;28.7;56.8
11;13.8;27.6;54.6
11.3;13.2;26.5;52.5
11.5;12.7;25.6;50.6
11.8;12.3;24.7;48.8
12;11.8;23.9;47.1
12.3;134;317;800
12.5;420;817;1.33e+03
12.8;580;942;1.25e+03
13;575;842;1.13e+03
13.3;490;726;1e+03
13.5;417;611;904
13.8;345;520;794
14;288;449;705
14.3;244;387;624
14.5;206;335;559
14.8;176;293;496
15;151;258;449
15.3;131;230;408
15.5;115;206;376
15.8;102;186;348
16;91;169;323
16.3;81.7;154;299
16.5;73.8;140;276
16.8;67.3;129;255
17;61.9;119;237
17.3;57.2;110;221
17.5;53.1;102;206
17.8;49.5;94.8;193
18;46.3;88;181
18.3;43.6;82;170
18.5;41.1;77.2;160
18.8;38.9;72.7;151
19;36.9;68.9;142
19.3;35.2;65.7;134
19.5;33.5;62.9;127
19.8;32.1;60.8;121
20;30.7;58.4;115
20.3;29.3;55.7;109
20.5;27.9;53.1;104
20.8;26.7;50.8;99.5
21;25.6;48.6;95.2
21.3;24.5;46.7;91.1
21.5;23.5;44.9;87.3
21.8;22.6;43.2;83.8
22;21.8;41.7;80.6
22.3;21;40.2;77.5
22.5;20.3;38.8;74.7
22.8;19.6;37.6;72
23;19;36.4;69.5
23.3;18.4;35.3;67.1
23.5;17.9;34.2;64.9
23.8;17.3;33.2;62.8
24;16.8;32.3;60.8
24.3;139;325;808
24.5;426;824;1.34e+03
24.8;585;951;1.26e+03
25;584;850;1.14e+03
25.3;496;734;1.01e+03
25.5;422;618;915
25.8;350;526;805
26;293;456;717
26.3;248;394;635
26.5;211;342;569
26.8;180;299;506
27;156;264;460
27.3;136;236;418
27.5;120;212;386
27.8;106;192;357
28;95.1;175;332
28.3;85.7;160;308
28.5;77.7;146;285
28.8;71.2;134;264
29;65.7;124;246
29.3;60.9;116;230
29.5;56.8;107;215
29.8;53.1;99.9;202
30;49.9;92.9;189
30.3;47.1;86.9;178
30.5;44.6;81.9;168
30.8;42.3;77.8;159
31;40.2;74;150
31.3;38.3;70.4;142
31.5;36.5;67;135
31.8;35;64.5;128
32;33.5;62.2;122
32.3;32.2;60;117
32.5;31;58;111
32.8;29.9;55.5;106
33;28.8;53.1;102
33.3;27.8;51;97.8
33.5;26.8;49.1;93.9
33.8;25.9;47.3;90.3
34;25;45.7;86.9
34.3;24.2;44.1;83.7
34.5;23.4;42.7;80.7
34.8;22.7;41.4;78
35;22;40.1;75.3
35.3;21.4;38.9;72.9
35.5;20.8;37.8;70.5
35.8;20.2;36.8;68.3
36;19.7;35.8;66.2
36.3;141;328;810
36.5;429;826;1.34e+03
36.8;587;955;1.27e+03
37;587;854;1.14e+03
37.3;498;737;1.02e+03
37.5;424;621;921
37.8;352;529;810
38;295;459;723
38.3;250;397;640
38.5;213;344;574
38.8;182;302;511
39;158;267;464
39.3;138;239;423
39.5;122;215;391
39.8;108;195;360
40;97.3;177;335
40.3;87.9;162;312
40.5;79.9;148;289
40.8;73;137;268
41;67.4;126;250
41.3;62.6;118;233
41.5;58.4;109;219
41.8;54.8;102;205
42;51.5;95.1;193
42.3;48.7;89;182
42.5;46.1;83.9;171
42.8;43.8;80.5;162
43;41.7;76.8;153
43.3;39.8;72.8;145
43.5;38;69.1;138
43.8;36.4;66;131
44;35;63.7;125
44.3;33.6;61.6;119
44.5;32.4;59.4;114
44.8;31.3;57.5;109
45;30.2;55.3;105
45.3;29.2;53;101
45.5;28.3;51;96.6
45.8;27.4;49.1;92.9
46;26.6;47.4;89.5
46.3;25.8;45.9;86.3
46.5;25;44.4;83.3
46.8;24.2;43.1;80.4
47;23.6;41.8;77.8
47.3;22.9;40.6;75.3
47.5;22.3;39.5;72.9
47.8;21.7;38.4;70.6
48;21.2;37.3;68.5
48.3;143;330;812
48.5;430;827;1.34e+03
48.8;589;957;1.27e+03
49;588;856;1.14e+03
49.3;499;739;1.02e+03
49.5;426;622;922
49.8;353;530;812
50;296;460;725
50.3;251;398;642
50.5;214;345;576
50.8;183;303;513
51;159;268;466
51.3;139;240;425
51.5;123;216;393
51.8;110;196;362
52;98.4;178;337
52.3;89;163;314
52.5;80.9;149;290
52.8;74.1;138;270
53;68.2;127;251
53.3;63.3;119;235
53.5;59.1;110;220
53.8;55.5;103;207
54;52.2;96.2;194
54.3;49.4;90;183
54.5;46.8;85.4;173
54.8;44.5;81.4;163
55;42.4;77.7;155
55.3;40.5;74.1;147
55.5;38.7;70.4;139
55.8;37.1;67;133
56;35.7;64.3;126
56.3;34.3;62.2;121
56.5;33.1;60;115
56.8;31.9;58;110
57;30.8;56;106
57.3;29.8;53.9;102
57.5;28.9;51.9;97.7
57.8;28;50;94
58;27.2;48.2;90.6
58.3;26.4;46.6;87.3
