Time profiles of Raltegravir for Raltegravir 1600 mg  (lactose formulation).;;;
;;;
Raltegravir [µg/l];;;
Time [h];5^{th} percentile;median;95^{th} percentile
0;0;0;0
0.05;15.7;72;265
0.1;237;754;2.33e+03
0.15;808;2.25e+03;6.08e+03
0.2;1.71e+03;4.43e+03;1.06e+04
0.25;2.83e+03;6.71e+03;1.52e+04
0.3;4.04e+03;9.01e+03;1.95e+04
0.35;5.31e+03;1.14e+04;2.28e+04
0.4;6.6e+03;1.38e+04;2.5e+04
0.45;7.88e+03;1.58e+04;2.72e+04
0.5;9.12e+03;1.73e+04;2.79e+04
0.55;1.03e+04;1.87e+04;2.82e+04
0.6;1.14e+04;1.99e+04;2.82e+04
0.65;1.23e+04;2.08e+04;2.84e+04
0.7;1.28e+04;2.11e+04;2.86e+04
0.75;1.31e+04;2.13e+04;2.86e+04
0.8;1.33e+04;2.12e+04;2.83e+04
0.85;1.37e+04;2.09e+04;2.78e+04
0.9;1.36e+04;2.04e+04;2.74e+04
0.95;1.32e+04;1.98e+04;2.66e+04
1;1.29e+04;1.93e+04;2.55e+04
1.05;1.27e+04;1.86e+04;2.45e+04
1.1;1.22e+04;1.81e+04;2.35e+04
1.15;1.19e+04;1.76e+04;2.28e+04
1.2;1.15e+04;1.68e+04;2.23e+04
1.25;1.1e+04;1.59e+04;2.19e+04
1.3;1.05e+04;1.52e+04;2.15e+04
1.35;9.99e+03;1.46e+04;2.1e+04
1.4;9.53e+03;1.41e+04;2.04e+04
1.45;9.16e+03;1.36e+04;1.99e+04
1.5;8.79e+03;1.31e+04;1.93e+04
1.55;8.43e+03;1.27e+04;1.88e+04
1.6;8.06e+03;1.23e+04;1.83e+04
1.65;7.71e+03;1.2e+04;1.77e+04
1.7;7.38e+03;1.16e+04;1.72e+04
1.75;7.07e+03;1.11e+04;1.67e+04
1.8;6.77e+03;1.07e+04;1.62e+04
1.85;6.5e+03;1.03e+04;1.57e+04
1.9;6.24e+03;9.96e+03;1.53e+04
1.95;6e+03;9.65e+03;1.48e+04
2;5.78e+03;9.34e+03;1.44e+04
2.25;4.91e+03;7.88e+03;1.26e+04
2.5;4.2e+03;6.83e+03;1.11e+04
2.75;3.56e+03;5.93e+03;9.88e+03
3;3.03e+03;5.13e+03;8.87e+03
3.25;2.61e+03;4.51e+03;8.01e+03
3.5;2.26e+03;3.95e+03;7.27e+03
3.75;1.96e+03;3.49e+03;6.63e+03
4;1.71e+03;3.09e+03;6.03e+03
4.25;1.5e+03;2.74e+03;5.46e+03
4.5;1.32e+03;2.44e+03;4.95e+03
4.75;1.17e+03;2.18e+03;4.5e+03
5;1.05e+03;1.96e+03;4.11e+03
5.25;948;1.77e+03;3.76e+03
5.5;860;1.61e+03;3.46e+03
5.75;786;1.47e+03;3.2e+03
6;723;1.34e+03;2.96e+03
6.25;668;1.24e+03;2.75e+03
6.5;622;1.14e+03;2.56e+03
6.75;582;1.05e+03;2.39e+03
7;543;977;2.23e+03
7.25;506;909;2.08e+03
7.5;472;847;1.95e+03
7.75;442;791;1.84e+03
8;415;741;1.73e+03
8.25;389;696;1.63e+03
8.5;365;655;1.54e+03
8.75;344;620;1.48e+03
9;325;589;1.43e+03
9.25;307;559;1.37e+03
9.5;290;535;1.3e+03
9.75;275;516;1.24e+03
10;261;492;1.18e+03
10.3;248;475;1.12e+03
10.5;236;454;1.07e+03
10.8;225;444;1.03e+03
11;218;432;986
11.3;213;418;947
11.5;205;404;911
11.8;196;394;877
12;188;382;845
12.3;180;375;816
12.5;173;368;788
12.8;166;360;762
13;160;349;738
13.3;154;336;715
13.5;149;323;694
13.8;144;313;674
14;139;306;655
14.3;134;301;638
14.5;130;295;621
14.8;126;288;605
15;123;285;591
15.3;119;281;577
15.5;116;275;564
15.8;113;268;550
16;110;261;537
16.3;107;254;524
16.5;105;246;511
16.8;102;239;499
17;99.9;231;484
17.3;97.7;224;472
17.5;95.7;218;464
17.8;94.4;214;455
18;93.3;210;450
18.3;92.3;206;445
18.5;91.2;202;440
18.8;90.1;197;433
19;88.9;193;427
19.3;87.6;189;424
19.5;86.3;185;419
19.8;85;181;416
20;83.8;178;412
20.3;82.5;175;408
20.5;81.3;174;403
20.8;80.1;172;398
21;79;170;391
21.3;77.9;167;384
21.5;76.9;164;378
21.8;75.8;160;371
22;74.8;157;365
22.3;73.9;155;359
22.5;72.9;153;353
22.8;72;150;347
23;71.1;148;344
23.3;70.2;145;341
23.5;69.4;143;337
23.8;68.2;140;334
24;66.8;138;331
24.3;65.5;135;327
24.5;64.3;132;322
24.8;63.1;130;314
25;61.9;127;308
25.3;60.7;125;303
25.5;59.6;122;297
25.8;58.3;119;292
26;57;116;288
26.3;55.8;114;284
26.5;54.6;111;281
26.8;53.5;109;278
27;52.4;108;276
27.3;51.3;106;275
27.5;50.2;103;274
27.8;49.2;101;272
28;48.5;99.3;271
28.3;47.7;97.3;269
28.5;46.8;95.4;267
28.8;45.9;93.5;266
29;45.1;91.7;264
29.3;44.3;89.9;263
29.5;43.3;88.3;261
29.8;42.4;86.7;259
30;41.8;85.1;258
30.3;41.2;83;256
30.5;40.6;80.9;254
30.8;40;79.7;253
31;39.3;78.5;251
31.3;38.5;77.3;249
31.5;37.7;76.1;247
31.8;36.9;74.9;245
32;36.2;73.7;244
32.3;35.4;72.4;241
32.5;34.7;71.3;239
32.8;34;70.4;235
33;33.4;69;232
33.3;32.8;67.4;228
33.5;32.3;66;224
33.8;31.8;64;219
34;31.3;62.2;215
34.3;30.8;60.9;210
34.5;30.3;59.6;205
34.8;29.8;58.5;200
35;29.3;57.5;195
35.3;28.8;56.5;190
35.5;28.4;55.2;186
35.8;27.9;53.6;181
36;27.5;52.5;177
36.3;27;51.5;172
36.5;26.6;50.4;168
36.8;26.1;49.2;163
37;25.7;47.9;159
37.3;25.3;46.7;155
37.5;24.9;45.7;152
37.8;24.5;44.2;149
38;24.1;43.1;145
38.3;23.7;42;142
38.5;23.3;41;138
38.8;23;39.9;135
39;22.6;38.6;132
39.3;22.2;37.5;129
39.5;21.9;36.7;126
39.8;21.5;35.9;123
40;21.1;35.1;121
40.3;20.8;34.5;118
40.5;20.5;33.7;116
40.8;20.1;33.1;113
41;19.8;32.5;111
41.3;19.5;31.8;108
41.5;19.2;31.1;106
41.8;18.8;30.5;104
42;18.5;29.9;102
42.3;18.1;29.4;99.6
42.5;17.8;28.9;97.6
42.8;17.5;28.4;95.7
43;17.1;28;93.7
43.3;16.8;27.5;91.5
43.5;16.5;27.1;89.3
43.8;16.2;26.4;86.8
44;15.9;25.9;84.2
44.3;15.5;25.5;81.4
44.5;15.2;25;78
44.8;14.8;24.5;74.6
45;14.4;24;71.4
45.3;14.1;23.5;68.2
45.5;13.8;23.1;65.2
45.8;13.4;22.7;62.3
46;13.1;22.3;59.5
46.3;12.8;21.7;56.8
46.5;12.5;21.3;54.2
46.8;12.2;21;51.8
47;12;20.6;49.4
47.3;11.8;20.1;47.2
47.5;11.6;19.6;45
47.8;11.3;19.3;43
48;11.1;18.9;41.6
48.3;10.9;18.6;40.4
48.5;10.7;18.1;39.2
48.8;10.6;17.6;38.1
49;10.4;17.2;37
49.3;10.2;16.9;35.8
49.5;9.99;16.6;34.5
49.8;9.81;16.3;33.5
50;9.63;16;32.5
50.3;9.46;15.6;31.5
50.5;9.29;15.3;30.6
50.8;9.12;15;29.7
51;8.95;14.8;28.9
51.3;8.79;14.5;28.2
51.5;8.63;14.3;27.8
51.8;8.47;14;27.3
52;8.32;13.8;26.8
52.3;8.17;13.5;26.4
52.5;8.02;13.3;25.7
52.8;7.87;13.1;25
53;7.73;12.8;24.3
53.3;7.59;12.6;23.6
53.5;7.45;12.4;23
53.8;7.3;12.2;22.4
54;7.17;11.9;22
54.3;7.03;11.7;21.6
54.5;6.9;11.5;21.3
54.8;6.77;11.3;21
55;6.64;11.1;20.7
55.3;6.51;10.8;20.3
55.5;6.39;10.6;20
55.8;6.27;10.4;19.7
56;6.15;10.2;19.4
56.3;6.03;10.1;19.1
56.5;5.92;9.88;18.8
56.8;5.81;9.7;18.5
