Time profiles of Raltegravir for Raltegravir 800 mg  (lactose formulation).;;;
;;;
Raltegravir [µg/l];;;
Time [h];5^{th} percentile;median;95^{th} percentile
41.5;8.9;14.4;26.5
41.8;8.74;14.1;26.1
42;8.58;13.9;25.7
42.3;8.43;13.6;25.3
42.5;8.28;13.4;24.9
42.8;8.13;13.1;24.4
43;7.99;12.9;23.7
43.3;7.85;12.7;23.1
43.5;7.71;12.4;22.4
43.8;7.57;12.2;21.9
44;7.44;12;21.3
44.3;7.3;11.8;20.8
44.5;7.17;11.6;20.5
44.8;7.04;11.4;20.1
45;6.92;11.2;19.8
45.3;6.79;11;19.5
45.5;6.67;10.8;19.2
45.8;6.55;10.6;18.9
46;6.44;10.3;18.6
46.3;6.32;10.1;18.3
46.5;6.21;9.95;18
46.8;6.1;9.77;17.7
47;5.99;9.61;17.4
47.3;5.88;9.45;17.1
47.5;5.77;9.31;16.9
47.8;5.67;9.13;16.5
48;5.57;8.93;16.1
48.3;5.47;8.77;15.7
48.5;5.37;8.62;15.3
48.8;5.27;8.47;14.9
49;5.18;8.3;14.7
49.3;5.08;8.13;14.5
49.5;4.99;7.99;14.3
49.8;4.9;7.85;14
50;4.81;7.71;13.8
