"Time  [h]","Concentration  [µmol/l]"
0.05,9.570109
0.25,7.726334
0.5,6.305042
0.75,8.190331
1,2.889793
2,3.705571
3,2.483187
4,3.598793
5,2.204209
6,1.116604
8,1.11751
12,0.717411
24,0.2211415
