"Time  [h]","Concentration  [µmol/l]"
1,0.0001824127
1.25,0.0003662253
1.5,0.0003436927
1.75,0.0005900944
2,0.0007129909
3,0.0006637028
4,0.001366962
6,0.001774833
8,0.001986408
12,0.001687268
16,0.0007093352
24,0.0004577339
48,7.025244E-05
72,1.46126E-05
